#                  L = 25.00                                       L = 50.00                                       L = 75.00                                       L = 100.00                   
#          r [A]          rho(r)         Δrho(r)           r [A]          rho(r)         Δrho(r)           r [A]          rho(r)         Δrho(r)           r [A]          rho(r)         Δrho(r)
  0.00000000E+00  1.67294309E-01  1.74136048E-03  0.00000000E+00  1.60798494E-01  7.15729511E-04  0.00000000E+00  1.64421832E-01  1.12324745E-03  0.00000000E+00  1.71031123E-01  1.48479510E-03
  7.75500000E-02  1.63427046E-01  1.62879238E-03  7.75500000E-02  1.57068988E-01  6.85908112E-04  7.75500000E-02  1.60555773E-01  1.09335777E-03  7.75500000E-02  1.67153867E-01  1.38074820E-03
  1.55100000E-01  1.55935230E-01  1.51226771E-03  1.55100000E-01  1.50123378E-01  6.33979290E-04  1.55100000E-01  1.53568287E-01  9.93454477E-04  1.55100000E-01  1.59580838E-01  1.28397910E-03
  2.32600000E-01  1.45424217E-01  1.35738766E-03  2.32600000E-01  1.40087119E-01  5.90406779E-04  2.32600000E-01  1.43753236E-01  8.72140262E-04  2.32600000E-01  1.49117342E-01  1.12727410E-03
  3.10200000E-01  1.32448709E-01  1.19770583E-03  3.10200000E-01  1.27854015E-01  5.24115087E-04  3.10200000E-01  1.31316459E-01  7.76370691E-04  3.10200000E-01  1.35988968E-01  9.46110204E-04
  3.87700000E-01  1.17842133E-01  9.78777222E-04  3.87700000E-01  1.14050059E-01  4.49777214E-04  3.87700000E-01  1.17328751E-01  6.37279531E-04  3.87700000E-01  1.21225434E-01  7.92260899E-04
  4.65300000E-01  1.02568963E-01  7.77027730E-04  4.65300000E-01  9.95329147E-02  3.86339033E-04  4.65300000E-01  1.02619427E-01  5.55548542E-04  4.65300000E-01  1.05630285E-01  6.24361414E-04
  5.42800000E-01  8.70221990E-02  6.03548602E-04  5.42800000E-01  8.49782813E-02  3.21173410E-04  5.42800000E-01  8.77680259E-02  4.35455506E-04  5.42800000E-01  8.98832240E-02  4.73316467E-04
  6.20400000E-01  7.22413247E-02  4.28017325E-04  6.20400000E-01  7.09761449E-02  2.61220058E-04  6.20400000E-01  7.35354690E-02  3.34287699E-04  6.20400000E-01  7.48293126E-02  3.54013213E-04
  6.97900000E-01  5.86056302E-02  2.71253291E-04  6.97900000E-01  5.80799743E-02  2.04435077E-04  6.97900000E-01  6.02292137E-02  2.78895060E-04  6.97900000E-01  6.09761123E-02  2.65737368E-04
  7.75500000E-01  4.64625746E-02  1.80037374E-04  7.75500000E-01  4.65993892E-02  1.51803729E-04  7.75500000E-01  4.83063768E-02  2.32610025E-04  7.75500000E-01  4.87027604E-02  1.81302114E-04
